OrderID,OrderDate,CustomerID,CustomerName,Region,ProductID,PartName,PartCategory,Manufacturer,Quantity,UnitPrice,ExpectedShippingDays,ShippingDays,RushOrder,Returned
1026,2026-01-02,C007,Great Lakes Medical Center,Midwest,P004,Infusion Pump Motor,Surgical,Precision Medical,8,310.00,4,5,No,No
1013,2026-01-04,C011,Heartland Regional Medical,Midwest,P011,Bed Control Module,Patient Support,CareMotion,5,390.00,3,3,No,No
1025,2026-01-05,C002,Central Ohio Hospital,Midwest,P014,Ventilator Flow Valve,Respiratory,AirMed,4,285.00,3,3,Yes,No
1078,2026-01-05,C010,Allegheny Health Clinic,Northeast,P004,Infusion Pump Motor,Surgical,Precision Medical,8,310.00,4,4,No,No
1125,2026-01-06,C003,Riverside Health,South,P004,Infusion Pump Motor,Surgical,Precision Medical,3,310.00,4,7,No,No
1009,2026-01-10,C006,Metro Health Network,Northeast,P006,ECG Lead Cable,Monitoring,VitalWorks,4,78.00,2,3,No,No
1038,2026-01-12,C006,Metro Health Network,Northeast,P003,Ventilator Filter,Respiratory,AirMed,9,42.50,2,2,No,No
1067,2026-01-12,C006,Metro Health Network,Northeast,P008,Oxygen Sensor,Respiratory,AirMed,6,160.00,2,3,Yes,No
1099,2026-01-13,C006,Metro Health Network,Northeast,P012,Suction Pump Assembly,Surgical,Precision Medical,4,540.00,4,5,No,No
1057,2026-01-17,C004,Northeast Surgical Center,Northeast,P013,Pulse Oximeter Sensor,Monitoring,VitalWorks,14,62.00,2,4,No,No
1006,2026-01-19,C001,Lakeview Medical Center,Midwest,P010,Defibrillator Battery,Emergency,RescueMed,5,265.00,2,2,No,No
1031,2026-01-20,C001,Lakeview Medical Center,Midwest,P007,Surgical Light Bulb,Surgical,Precision Medical,20,95.00,3,2,No,No
1101,2026-01-21,C008,Piedmont Community Hospital,South,P012,Suction Pump Assembly,Surgical,Precision Medical,3,540.00,4,4,No,No
1080,2026-01-23,C004,Northeast Surgical Center,Northeast,P002,Patient Monitor Battery,Monitoring,VitalWorks,15,125.00,2,4,No,No
1002,2026-01-24,C010,Allegheny Health Clinic,Northeast,P006,ECG Lead Cable,Monitoring,VitalWorks,2,78.00,2,3,Yes,No
1070,2026-01-24,C005,Western Regional Hospital,West,P013,Pulse Oximeter Sensor,Monitoring,VitalWorks,9,62.00,2,3,No,Yes
1138,2026-01-25,C012,Sunrise Medical Pavilion,South,P008,Oxygen Sensor,Respiratory,AirMed,7,160.00,2,2,No,No
1104,2026-01-27,C008,Piedmont Community Hospital,South,P003,Ventilator Filter,Respiratory,AirMed,11,42.50,2,2,No,No
1034,2026-01-29,C012,Sunrise Medical Pavilion,South,P008,Oxygen Sensor,Respiratory,AirMed,5,160.00,2,2,No,No
1052,2026-01-29,C007,Great Lakes Medical Center,Midwest,P003,Ventilator Filter,Respiratory,AirMed,18,42.50,2,3,No,No
1065,2026-01-31,C003,Riverside Health,South,P015,MRI Table Motor,Imaging,ScanPro Healthcare,1,1450.00,6,6,No,No
1079,2026-01-31,C002,Central Ohio Hospital,Midwest,P006,ECG Lead Cable,Monitoring,VitalWorks,4,78.00,2,2,No,No
